数据结构,操作系统,高等数学,软件工程,数据库原理,计算机网络,C语言程序设计,计算机导论
72,62.0,62,50,43,68,72.0,75.0
77,75.0,83,82,69,85,65.0,78.0
41,70.0,75,63,45,66,61.0,77.0
46,54.0,97,85,34,64,84.0,68.0
72,82.0,83,88,64,97,84.0,84.0
74,78.0,92,81,72,95,92.0,81.0
78,87.0,87,83,69,81,68.0,78.0
79,94.0,67,84,80,96,88.0,86.0
67,73.0,86,49,47,73,80.0,70.0
65,61.0,77,0,52,32,82.0,71.0
78,72.0,96,74,66,86,91.0,76.0
60,44.0,74,66,46,72,72.0,76.0
61,62.0,76,61,54,87,48.0,67.0
66,78.0,94,75,68,83,86.0,80.0
60,60.0,68,86,51,92,61.0,73.0
49,54.0,62,83,47,81,39.0,61.0
61,82.0,67,80,65,88,83.0,84.0
60,60.0,67,80,60,74,80.0,75.0
62,62.0,60,66,50,66,67.0,61.0
66,94.0,80,77,72,91,60.0,80.0
67,63.0,60,72,60,97,84.0,61.0
66,84.0,70,75,60,83,86.0,77.0
67,64.0,68,63,62,77,70.0,68.0
70,77.0,48,90,50,82,67.0,71.0
60,71.0,70,46,72,64,75.0,80.0
65,82.0,68,81,57,87,82.0,70.0
52,71.0,70,62,43,83,77.0,74.0
78,84.0,61,90,73,80,77.0,80.0
86,86.0,73,85,81,85,90.0,78.0
85,89.0,95,90,82,94,87.0,84.0
72,73.0,70,77,66,81,77.0,75.0
77,85.0,61,86,72,93,94.0,74.0
77,81.0,87,80,62,93,94.0,77.0
77,78.0,74,90,73,89,83.0,76.0
86,90.0,96,92,85,92,93.0,88.0
76,82.0,72,84,72,76,90.0,75.0
87,66.0,60,77,73,74,60.0,66.0
67,80.0,85,82,64,88,80.0,84.0
80,86.0,85,78,74,80,89.0,77.0
84,87.0,85,81,79,87,94.0,87.0
65,75.0,87,75,75,86,92.0,83.0
73,79.0,67,75,66,92,85.0,80.0
70,70.0,62,85,70,89,93.0,69.0
65,61.0,65,87,85,63,85.0,89.0
90,74.0,90,85,76,72,67.0,90.0
30,69.0,60,92,90,65,72.0,85.0
80,80.0,61,82,76,77,78.0,65.0
68,69.0,75,89,76,77,73.0,83.0
53,70.0,0,79,75,81,75.0,71.0
61,77.0,0,73,69,72,60.0,79.0
60,70.0,67,92,72,74,80.0,78.0
60,64.0,60,87,72,70,60.0,75.0
62,62.0,38,97,77,72,78.0,73.0
76,89.0,70,95,80,91,85.0,72.0
38,51.0,34,90,66,61,50.0,60.0
73,77.0,73,93,83,77,59.0,74.0
75,77.0,62,84,71,81,76.0,81.0
73,76.0,65,87,74,84,79.0,81.0
54,85.0,89,91,86,89,75.0,83.0
60,80.0,76,87,73,86,58.0,64.0
50,72.0,63,87,68,78,57.0,73.0
76,73.0,75,87,78,64,85.0,71.0
51,61.0,76,98,71,62,76.0,61.0
71,48.0,75,79,75,78,61.0,63.0
56,82.0,86,94,92,84,84.0,70.0
60,88.0,95,86,80,91,87.0,73.0
66,83.0,78,94,72,88,83.0,63.0
85,85.0,88,92,78,89,84.0,81.0
64,77.0,95,95,73,76,73.0,61.0
76,75.0,63,75,73,91,51.0,65.0
85,73.0,96,50,85,84,76.0,69.0
68,60.0,63,44,60,76,50.0,49.0
63,85.0,100,77,71,77,62.0,78.0
35,66.0,66,96,75,88,99.0,52.0
53,50.0,78,54,68,54,63.0,88.0
75,75.0,63,52,66,52,39.0,71.0
79,75.0,70,51,80,51,47.0,78.0
73,85.0,60,61,63,61,67.0,71.0
37,75.0,75,62,66,62,60.0,74.0
74,85.0,75,60,68,60,67.0,81.0
35,75.0,66,54,69,54,70.0,74.0
60,75.0,79,57,72,57,74.0,77.0
76,75.0,65,47,69,47,72.0,76.0
70,85.0,62,64,65,64,61.0,56.0
81,90.0,85,72,70,72,74.0,85.0
85,85.0,73,55,72,55,73.0,84.0
75,85.0,72,65,70,65,62.0,68.0
61,88.0,63,66,74,66,73.0,67.0
65,87.0,57,87,73,99,98.0,74.0
53,65.0,79,67,65,67,66.0,68.0
61,50.0,61,64,68,64,46.0,72.0
71,75.0,48,75,61,75,71.0,74.0
77,85.0,70,52,78,52,62.0,75.0
81,85.0,73,66,60,66,71.0,74.0
73,85.0,76,65,68,65,50.0,71.0
76,85.0,76,58,62,58,65.0,74.0
69,90.0,87,71,80,71,84.0,76.0
70,85.0,74,68,70,68,66.0,71.0
80,75.0,69,56,61,56,69.0,74.0
63,69.0,61,72,64,72,56.0,83.0
71,85.0,68,78,68,78,71.0,71.0
47,75.0,62,55,60,55,66.0,76.0
47,75.0,71,53,68,53,63.0,78.0
79,75.0,83,66,83,66,45.0,77.0
54,75.0,63,46,68,46,65.0,78.0
68,75.0,76,49,82,49,55.0,77.0
50,65.0,74,47,63,47,60.0,74.0
64,65.0,66,47,71,47,64.0,87.0
64,85.0,75,71,73,71,61.0,80.0
47,75.0,68,66,68,66,49.0,60.0
69,85.0,87,83,63,83,83.0,87.0
66,85.0,64,66,62,66,72.0,63.0
66,85.0,76,77,100,77,62.0,89.0
83,85.0,71,78,99,78,76.0,82.0
71,75.0,68,67,98,67,72.0,66.0
49,65.0,51,100,71,58,36.0,79.0
75,85.0,81,77,66,77,72.0,79.0
65,48.0,88,72,60,68,67.0,72.0
75,79.0,89,83,80,90,61.0,92.0
63,70.0,41,73,59,61,55.0,69.0
70,77.0,40,73,64,72,64.0,85.0
